,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
708,24,Chateau Ste. Michelle White Riesling Columbia Valley Late Harvest Chateau Reserve +,Chateau Ste. Michelle,1991,93,9.0,"A ripe, sweet, generous and elegant dessert wine from Washington. The silky mouth-feel and gorgeous honey, apricot and spice flavors blend beautifully, joined by a touch of almond on the lovely finish. Wonderful now, and it should last through 1999 and beyond. 1,000 cases made. —",1995
709,15,Daniel Rion & Fils Clos Vougeot +,Daniel Rion & Fils,1993,97,90.0,"A giant of a wine. The greatest Clos Vougeot we have ever tasted. Mint, spice, dried herb and red berry flavors, full body, loads of tannins and a long, silky finish. An amazing wine, even for such a great vintage. Try in 2000 or later. 225 cases made. —",1995
710,16,Arrowood White Riesling Russian River Valley Late Harvest Special Select Oak Meadow Vineyard +,Arrowood,1993,96,28.0,"Gloriously sweet, rich, supple and complex. A dessert wine from California that unfolds a many-layered swirl of honey, caramel, apricot, pear and exotic tropical fruit and spices, all balanced gorgeously on a fine thread of acidity. Wonderful now, but should be fine through 1998, or even 2000. 300 cases made. —",1995
711,20,Anderson's Conn Valley Cabernet Sauvignon Napa Valley Estate Reserve +,Anderson's Conn Valley,1992,93,30.0,"A beautifully crafted red with rich, complex cherry, plum, wild berry, anise, toast and vanilla notes that turn harmonious and supple on the finish, where the tannins are smooth. Better from 1999 on. 4,243 cases made. —",1995
712,18,Taylor Fladgate Vintage Port +,Taylor Fladgate,1992,95,37.0,"The finest Taylor vintage since 1977 and a tribute to the firm's 300th anniversary. Powerful wet earth, grape, violet and berry aromas and flavors, full body, medium sweetness and long finish. Closing up quickly. Best after 1999. 6,200 cases made. —JS",1995
713,27,Monticello Chardonnay Napa Valley Corley Estate Reserve +,Monticello,1992,94,26.0,"Bold, rich and concentrated, with attractive pear, honey, spice and apple flavors that turn smooth and creamy as the toasty oak nuances chime in. 492 cases made. —",1995
714,29,Penfolds Cabernet-Shiraz South Australia Bin 389 +,Penfolds,1992,92,16.0,"Rich, smooth and plush, with complex currant, black cherry, anise and spice flavors that are bold and intense. Finishes with firm tannins, but the fruit still manages to gush through on the finish. 25,000 cases made. —",1995
715,17,Flora Springs Cabernet Sauvignon Napa Valley Rutherford Reserve +,Flora Springs,1992,96,40.0,"Serves up a broad range of complex flavors—tiers of currant, plum, black cherry and spice—then finishes with prune and anise nuances that add some exciting dimensions. Finishes long and rich, with smooth, polished tannins. Better in 1998 or 1999. 500 cases made. —",1995
716,26,Bonny Doon Muscat Canelli California Vin de Glacière +,Bonny Doon,1994,94,15.0,"Sweet, rich and profound, a Muscat of astounding depth and complexity. The rich apricot, golden raisin and honey flavors persist on the long finish. A wonderful dessert wine. 5,000 cases made. —",1995
717,13,E. Guigal Côte-Rôtie La Landonne +,E. Guigal,1991,97,150.0,"A blockbuster. This has it all: explosive aromas of toast, coffee and plums, great concentration on the palate and plenty of oak to match the ripe fruit. The long finish echoes a smoky, gamey and chocolaty character. This is luscious, balanced and delicious now, but it should still improve for a decade or more. 700 cases made. —",1995
718,19,Lewis Cabernet Sauvignon Napa Valley Oakville Ranch +,Lewis,1992,94,30.0,"Has a wonderful sense of harmony and finesse, with tiers of currant, plum, cherry and tobacco flavors enhanced by hints of toast and vanilla from oak. Finishes with firm, fine tannins. Better still in 1998. 700 cases made. —",1995
719,23,Domaine Leroy Volnay-Santenots +,Domaine Leroy,1993,96,185.0,"Like great sex: exciting at first and relaxing in the end. Full-bodied and very voluptuous, boasting loads of berry, smoky, chocolate character. Full, velvety tannins and a long finish. Better after 2000. 97 cases made. —",1995
720,25,Jean-Marc Boillot Volnay +,Jean-Marc Boillot,1993,93,30.0,"Amazing for a village wine. Unbelievable. Essence of wild raspberries added to a hint of earth. Full in body and lots of tannins, which the ripe fruit seems to soften somewhat. Give it time; tempting now, but better in 1998. 550 cases made. —",1995
721,42,Etude Cabernet Sauvignon Napa Valley +,Etude,1992,93,30.0,"Dark, rich and harmonious, with complex plum, currant, cherry, vanilla and toasty oak flavors, all neatly wound together. Finishes with a wall of tannins and a trace of coffee and cedar. Best to hold off until 1999. 1,500 cases made. —",1995
722,40,Shafer Cabernet Sauvignon Stags Leap District Hillside Select +,Shafer,1991,93,45.0,"Sleek and elegant, with appealing black cherry, raspberry, spice and toast shadings. Offers a supple texture, with bright, ripe flavors and good length. Tempting now for its elegance and finesse, but it has the stuffing to age through another decade. 2,000 cases made. —",1995
723,52,Arrowood Cabernet Sauvignon Sonoma County +,Arrowood,1992,92,25.0,"A big, ripe and well oaked style, packs in lots of ripe plum and black cherry-laced fruit that runs deep and complex, finishing with smooth tannins and fine length. Finishes with a touch of herb and tobacco. Best after 1997. 10,658 cases made. —",1995
724,33,Beringer Chardonnay Napa Valley Private Reserve +,Beringer,1993,92,20.0,"An outstanding Chardonnay that is marked by a leesy edge which stretches the strong core of rich fig, pear and honey flavors. It picks up a nice, flinty accent on the finish. 13,500 cases made. —",1995
725,36,Whitehall Lane Cabernet Sauvignon Napa Valley Morisoli Vineyard Reserve +,Whitehall Lane,1992,93,28.0,"Remarkably complex and concentrated, with an appealing core of currant, black cherry, vanilla and spice. Finishes with smooth, polished tannins and a wonderful sense of harmony. 1,000 cases made. —",1995
726,30,Rabbit Ridge Zinfandel Sonoma County San Lorenzo Reserve +,Rabbit Ridge,1993,93,18.0,"Dark, rich and complex, with splendidly ripe plum, black cherry and raspberry flavors that expand to reveal greater depth and concentration. Has a satisfying, full aftertaste. 622 cases made. —",1995
727,48,Markham Chardonnay Napa Valley Barrel Fermented +,Markham,1993,91,17.0,"A distinctive wine with personality and finesse. Deliciously ripe and full bodied, showing attractive pear, ginger, quince and spice aromas and flavors. Has a style that carries through to the finish. 17,000 cases made. —",1995
728,49,Castello Banfi Brunello di Montalcino +,Castello Banfi,1990,93,30.0,"A wonderful Brunello boasting mineral, violet, berry and cherry character and a hint of new oak. Full-bodied and powerful, adding loads of tannins and a very long finish. One to cellar for a long time; try in 1999. Better than previously reviewed. —",1995
729,34,Mastrojanni Brunello di Montalcino +,Mastrojanni,1990,94,27.0,"Big, ripe and full-bodied, this tannic monster still manages to show a lot of class. Offers tons of earth, red berry and black cherry notes. It's like a volcano waiting to erupt, so hold until at least 1998. —",1995
730,51,Matanzas Creek Chardonnay Sonoma Valley +,Matanzas Creek,1993,91,23.0,"Rich, round and distinctively spicy, this is an elegant mouthful of pear, apple and nutmeg. Buttery, creamy notes chime in on the finish. Stylish and graceful. Delicious now and at its best through 1998. 15,000 cases made. —",1995
731,31,A. Rafanelli Cabernet Sauvignon Dry Creek Valley +,A. Rafanelli,1992,92,17.0,"Beautifully focused, ripe, rich and complex, with layers of currant, black cherry and cedar flavors, all well proportioned. A long, complex aftertaste plays a lingering melody. Firmly tannic, and a good bet to age. Best after 1997. 2,700 cases made. —",1995
732,45,Penfolds Cabernet Sauvignon South Australia Bin 707 +,Penfolds,1992,92,40.0,"Ripe and generous, elegantly balanced and velvety. The focused currant and plum flavors are shaded by a touch of smoke and spice, the fruit persisting beautifully on the finish. Best in 1997. 10,000 cases made. —",1995
733,28,Monthélie-Douhairet Volnay En Champans +,Monthélie-Douhairet,1993,93,44.0,"Full-blown currant juice; a reduction of fruit. Wonderfully concentrated layers of raspberry character. Full-bodied with velvety tannins, sweet fruit and very long finish. Try in 2000. —PM",1995
734,32,Rombauer Chardonnay Carneros +,Rombauer,1993,92,18.0,"Serves up lots of ripe and juicy pear, fig and pineapple flavors that are framed by toasty, buttery oak. It all folds together into one delicious California white. 5,000 cases made. —",1995
735,55,Bodegas Vega Sicilia Ribera del Duero Unico Gran Reserva +,Bodegas Vega Sicilia,1970,92,180.0,"A silky, seamless package of pleasure. Surprisingly dark color, then mature aromas of spice and cherry, with an elegant, soft palate impression that holds coffee, raisin and cherry flavors. It's balanced and long, with a slightly volatile character. —",1995
736,39,Forman Cabernet Sauvignon Napa Valley +,Forman,1992,93,30.0,"An intense wine that weaves together a pretty array of ripe cherry, currant and spicy oak flavors, and adds a trim of earthy character. Very well focused, young and vibrant, but needs at least until 1999. 2,000 cases made. —",1995
737,38,Méo-Camuzet Nuits-St.-Georges Aux Murgers +,Méo-Camuzet,1993,93,60.0,"Lots of wood in this brooding, dark-colored Burgundy. Plenty of plum, chestnut and currant flavors, full body, a fresh core and solid tannins. Try in 1999. —",1995
738,44,Chateau Montelena Cabernet Sauvignon Napa Valley The Montelena Estate +,Chateau Montelena,1991,92,30.0,"Uncommonly dark and intense, even for this vintage, with a rich core of leathery currant, spice, cedar and anise flavors that are young and rambunctious. This is a massive wine that needs to age through 1999. 12,000 cases made. —",1995
739,47,Bodegas y Viñedos Alion Ribera del Duero Reserva +,Bodegas y Viñedos Alion,1991,92,20.0,"An exciting new venture from the venerable Spanish estate of Bodegas Vega Sicilia. It's a rich, concentrated blockbuster that coats your mouth and lingers on your taste buds. Plenty of roasted and coffee nuances, almost jammy berry and black cherry and powerful yet silky tannins—this has it all. It promises great drinking in 1997 and beyond. 4,500 cases made. —",1995
740,43,Beringer Merlot Howell Mountain Bancroft Ranch +,Beringer,1992,92,29.0,"Smooth and harmonious, with a supple core of black cherry, currant, earth and toasty oak that folds together nicely on the finish, the flavors becoming more complex and elegant as it progresses. This vintage adds one more to this California vineyard's fine track record for world-class Merlot. 9,000 cases made. —",1995
741,41,Dominus Estate Napa Valley Napanook Vineyard +,Dominus Estate,1991,93,55.0,"Marked by an earthy, cedary edge, it manages to showcase a supple, harmonious core of currant, tobacco, mineral and anise flavors. Finishes with thick but polished tannins. Drink now. 6,500 cases made. —",1995
742,54,Bodegas Esmeralda Cabernet Sauvignon Mendoza Catena Agrelo Vineyard +,Bodegas Esmeralda,1992,91,16.0,"This classy wine takes Argentine Cab to another level. From the deep color to the complex aromas of black cherry, cassis, tobacco and tar through the rich, full-bodied flavors and long finish, this shows concentration, focus and depth. Drink now. 2,700 cases made. —TM",1995
743,46,Tenuta dell'Ornellaia Masseto +,Tenuta dell'Ornellaia,1992,93,59.0,"Better than the 1990 or '91 Masseto. Deep and profound Merlot exhibiting intense berry, mint and cassis aromas and flavors. Full-bodied but very elegant and refined; wonderful silky tannins and succulent finish. Drink now. —",1995
744,37,Groth Cabernet Sauvignon Napa Valley +,Groth,1992,91,20.0,"Starts out a bit rough but turns more complex as the flavors unfold, revealing layers of currant, cedar, coffee and spice. Turns to herbal and cedary accents on the finish. Has the tannic strength to age, but best from 1997 to 1998. 13,500 cases made. —",1995
745,35,Quinta do Vesuvio Vintage Port +,Quinta do Vesuvio,1992,94,49.0,"Fabulous Vesuvio, best ever; better than remembered and improving all the time. Amazing wet earth and ripe fruit character; full in body and very sleek, offering hard tannins and fresh flavors. Needs time to round off its rough edges; try in 2003. 2,000 cases made. —JS",1995
746,53,Conti Costanti Brunello di Montalcino +,Conti Costanti,1990,93,54.0,"Best wine ever made by Costanti. It's bursting at the seams with fresh fruit. Layers of violet, rose petal and red berry are balanced by lovely oak. Could age a bit more, but tempting now. Try in 1998. —",1995
747,50,Olivier Leflaive Frères Volnay Frémiets +,Olivier Leflaive Frères,1993,93,42.0,"Beautiful, vivid and ripe, sporting a gorgeous core of plum and red berry flavors and silky texture. Tannins creep up on the finish, so should need until 2000 to show it all. —",1995
748,59,Ridge Chardonnay Santa Cruz Mountains +,Ridge,1992,92,20.0,"Ripe and complex aromas and flavors of spice, pear and honey that persist and build through the finish. A toasty, buttery character accents it nicely. Another beauty from Ridge. 3,300 cases made. —",1995
749,58,Henschke Cabernet Sauvignon Keyneton Cyril Henschke +,Henschke,1991,92,35.0,"A smooth and harmonious Cab that shows off a pretty core of black cherry, currant, cedar and spice. Mild, elegant tannins and a lingering aftertaste round it off. Drinkable now, but age-worthy, too. 10,000 cases made. —",1995
750,56,Domaine Leflaive Puligny-Montrachet Clavoillon +,Domaine Leflaive,1992,92,65.0,"A flamboyant, ripe and seductive style of Chardonnay with plenty of fruit flavor accented by intriguing notes of butter, vanilla, nutmeg and toast. Firm with acidity, full-bodied and long on the finish. Appealing now but better if cellared until 1997. 300 cases made. —",1995
751,60,Gloria Ferrer Chardonnay Carneros +,Gloria Ferrer,1993,91,15.0,"This combines delicacy with finesse; the creamy pear, honey, spice and nutmeg flavors lead into a complex aftertaste. 8,000 cases made. —",1995
752,57,Zind-Humbrecht Gewürztraminer Alsace Grand Cru Gueberschwihr Goldert +,Zind-Humbrecht,1993,92,35.0,"Bold and opulent but dry, combining smoky aromas, ripe pear and honey flavors and a long-lasting nutty, mineral character on the finish. Very full-bodied and assertive, yet well balanced by acidity. Drinkable now through 2000. 300 cases made. —",1995
753,86,Chateau Ste. Michelle Chardonnay Columbia Valley Cold Creek Vineyard +,Chateau Ste. Michelle,1993,90,25.0,"Subtle, harmonious and beautifully balanced, blending together pear, spice, vanilla, honey and toast flavors right through to the smooth finish. An intriguing Washington white that's drinkable already, but should improve through 1997. 3,600 cases made. —",1995
754,68,Mongeard-Mugneret Echézeaux Vieille Vigne +,Mongeard-Mugneret,1993,92,60.0,"Amazing intensity of vivid flavors. Ripe plum, black cherry, minty taste. Of medium body, it shows finesse despite the massive, supple tannins. Long and flavorful finish. Try after 2000. —",1995
755,75,Leonetti Merlot Washington +,Leonetti,1993,91,29.0,"Dark in color and lavishly oaked, but with plenty of fruit to match the buttery, toasty notes. Black cherry, currant and wild berry flavors lead into a rich and lingering finish. Drink now through 1997. 1,600 cases made. —",1995
756,62,Caymus Conundrum California +,Caymus,1994,91,17.0,"Distinctive for its ripe, complex array of flavors, focusing on pear, spice, fig and vanilla. Picks up undertones of citrus on the elegant finish. This has always been, and remains, a one-of-a-kind white wine from this innovative winery. Chardonnay, Sauvignon Blanc, Sémillon, Muscat and Viognier. Drink now. 8,000 cases made. —",1995
757,64,Simi Cabernet Sauvignon Alexander Valley Reserve +,Simi,1991,92,35.0,"Supple and harmonious, with well-focused cherry, currant, mineral and spice notes that lead to firm tannins and an excellent, long finish. This ample California Cabernet needs to age into 1998 or 1999 to show its best. 3,500 cases made. —",1995
758,69,Stonestreet Chardonnay Sonoma County +,Stonestreet,1993,92,21.0,"Another remarkable Chardonnay from Stonestreet. This is a rich, toasty, complex wine with tiers of pear, spice, toast and smoky oak flavors, followed by a long finish. A real mouthful. 7,500 cases made. —",1995
759,97,Thelema Cabernet Sauvignon-Merlot Stellenbosch +,Thelema,1992,90,20.0,"Classy and refined mint, coffee, cedar and dried plum character. Full-bodied and elegant, adding fine tannins and a silky finish. Superbly made. Drink now. 1,200 cases made. —",1995
760,71,Rosemount Chardonnay Hunter Valley Roxburgh +,Rosemount,1991,92,28.0,"Deep, rich, complex and mouth-filling. This oozes butter, spice, toast and vanilla flavors around a core of pear and apricot that remains elegant. Delicious now. 1,700 cases made. —",1995
761,67,El Molino Pinot Noir Napa Valley +,El Molino,1992,91,30.0,"Bold, ripe, rich and complex. It's still tightly wound, but the layers of cherry, plum and spice flavors open up nicely and linger on the finish. Drinkable now. 625 cases made. —",1995
762,61,Kumeu River Chardonnay New Zealand +,Kumeu River,1993,92,27.0,"Smooth, round and spicy, a mouthful of generous apple, tropical fruit, vanilla and citrus flavors singing harmoniously on the finish - this tells a story in the glass. Best from 1996 through 1997. 3,000 cases made. —",1995
763,65,Chalk Hill Chardonnay Chalk Hill +,Chalk Hill,1993,91,19.0,"A bold, ripe and spicy California Chardonnay, with an intriguing earthy edge to the rich, creamy fig and apple flavors. There are notes of vanilla and toast, followed by a complex aftertaste. Drinkable now, but should develop through 1997. 15,938 cases made. —",1995
764,63,Marienberg Shiraz McLaren Vale +,Marienberg,1992,91,12.0,"Massively flavorful but not heavy, expanding on its tar, prune, black cherry, coffee and cola flavors, then ringing out echoes of berries and spice on the long finish. A distinctive, complex and powerful Australian red. Tempting now, but best from 1999 on. 5,000 cases made. —",1995
765,87,Ferrari-Carano Fumé Blanc Reserve Sonoma County +,Ferrari-Carano,1994,90,15.0,"Ripe, rich, round and spicy featuring new oak flavors backed by a mouthful of nectarine, pear and orange notes that expand on the finish. Superbly crafted in its supple, oak-centered style. 4,500 cases made. —",1995
766,74,Rosemount Shiraz South Australia +,Rosemount,1994,90,10.0,"A ripe, supple and silky Shiraz that is generous with its berry, spice and tar flavors, which also linger enticingly on the finish. Drinkable now. 60,000 cases made. —",1995
767,85,Marimar Torres Chardonnay Sonoma County Green Valley Don Miguel Vineyard +,Marimar Torres,1992,91,20.0,"A rich, smooth and polished white from this Spanish-owned venture. This has a creamy texture and ripe, broad pear, apple and spice notes that build in intensity. The finish is elegant and refined. 6,745 cases made. —",1995
768,72,Kiona Merlot Columbia Valley +,Kiona,1992,91,12.0,"Rich, plush and elegant, a high-fidelity voice that sings out its plum, black cherry, vanilla and spice flavors. A Washington Merlot that echoes ripe fruit and oak on the long finish. Drinkable now. 1,800 cases made. —",1995
769,92,Heitz Cabernet Sauvignon Napa Valley +,Heitz,1990,90,18.0,"Strikes a lively balance between spicy, cedary oak and ripe cherry and currant flavors, turning smooth and supple on the finish. Has plenty of intensity and depth. 13,900 cases made. —",1995
770,79,Ridge Geyserville Sonoma County +,Ridge,1993,91,20.0,"This is well oaked, with an interesting band of flavors. A hint of dill accompanies the ripe plum and cherry notes and it's smooth and supple on the finish. This Zinfandel-based blend gains complexity and depth on the palate as the flavors expand. Drinkable now. 6,300 cases made. —",1995
771,82,Talbott Chardonnay Monterey +,Talbott,1992,91,25.0,"Ripe and complex, with earthy pear and pineapple flavors and a nice touch of toasty oak on the finish that goes on and on. Delicious; drinkable now. 6,500 cases made. —",1995
772,76,Silver Oak Cabernet Sauvignon Alexander Valley +,Silver Oak,1991,91,32.0,"Lavishly oaked, with an herb and dill edge to the currant and berry fruit. It is a rich and harmonious style, with layers of flavor. Firmly tannic, it can stand cellaring into 1998 to 2000 and still be massive. 35,000 cases made. —",1995
773,95,Sanford Chardonnay Santa Barbara County +,Sanford,1993,90,18.0,"A bold wine that makes a statement about Santa Barbara Chardonnay. Complex and full-bodied, well oaked and flavorful, with ripe pear, honey and earthy notes that turn rich and complex on the finish. Drink now. 22,000 cases made. —",1995
774,77,Matanzas Creek Merlot Sonoma Valley +,Matanzas Creek,1992,91,30.0,"Perennially one of California's tip-top Merlots. Dark in color, with lots of rich currant, herb, tobacco and buttery oak, but it retains a sense of elegance, even for such substantial weight and flavor. 6,700 cases made. —",1995
775,80,Franciscan Oakville Estate Chardonnay Napa Valley Barrel Fermented +,Franciscan Oakville Estate,1993,90,12.0,"A great-value Chardonnay that's marked by smoky, toasty oak and a ripe core of pear, apple and spice flavors that become complex and concentrated on the finish. 18,000 cases made. —",1995
776,70,Nozzole Il Pareto +,Nozzole,1993,92,45.0,"Always a winner. Subtle aromas of blackberry, mint and lightly toasted oak follow through to a terrific palate with refined tannins and medium body. Excellent potential. Cabernet Sauvignon. Best after 1997. —",1995
777,66,Ferrari-Carano Chardonnay Alexander Valley +,Ferrari-Carano,1993,91,20.0,"Deliciously fruity California Chardonnay with a solid core of spice, pear and apple. The flavors are framed by smoky, toasty oak, followed up with a long, lingering finish. Drinkable now. 30,000 cases made. —",1995
778,78,Robert Mondavi Cabernet Sauvignon Napa Valley Reserve +,Robert Mondavi,1992,91,55.0,"Dense and compact, with a tightly wound, rich core of earthy currant, cedar, spice and cherry flavors, finishing with chewy tannins. Great length, but will need to age at least until 1998. 18,000 cases made. —",1995
779,84,St. Francis Zinfandel Sonoma Valley Old Vines +,St. Francis,1993,91,18.0,"Complex and appealing, the minty, spicy notes are followed by pretty cherry and raspberry flavors. Turns smooth and supple, with mild tannins. A big, bold style that manages to hang in balance. 1,680 cases made. —",1995
780,100,Moët & Chandon Brut Champagne Cuvée Dom Pérignon +,Moët & Chandon,1988,91,89.0,"Complex fruit flavors and a creamy, melt-in-your-mouth texture make this especially seductive. It combines rich fruit with an intriguing doughy accent that comes from long aging on the lees. Has polish, elegance and finesse. Drink now through 1997. —",1995
781,83,Henschke Shiraz Keyneton Mount Edelstone +,Henschke,1992,91,30.0,"A full-bodied, concentrated Shiraz that delivers lots of flavor, with ripe cherry, plum and currant, lively spice and cedary oak. Finishes with a complex aftertaste and firm but not overpowering tannins. Drinkable now, but may be better by 1997. 10,000 cases made. —",1995
782,73,Marqués de Riscal Rioja Reserva +,Marqués de Riscal,1989,90,11.0,"Great concentration and style. It's full-bodied, well balanced and ripe with toasty, spicy black cherry flavors. Well-integrated tannins and a long finish keep you coming back for more. Drinkable now, but age-worthy, too. 20,000 cases made. —",1995
783,99,Antinori Solaia +,Antinori,1991,90,65.0,"What a beautiful wine! A classy Tuscan vino da tavola with a crisp character, but there are plenty of lovely, earthy cassis and sweet, ripe plum flavors. Delicious from start to finish. Watch for the tannins; better in 1998. 5,000 cases made. —",1995
784,91,Green & Red Zinfandel Napa Valley Chiles Mill Vineyard Unfiltered +,Green & Red,1993,90,15.0,"Intense yet elegant, focused on the spicy cherry, wild berry and light jammy notes. Has firm tannins to frame the flavors. Drinkable now through 1998. 1,350 cases made. —",1995
785,88,Fontodi Chianti Classico Riserva +,Fontodi,1991,90,18.0,"A wine to age. Superb for the vintage. Big and grapey with chocolate, berry character. Full-bodied and round with thick, soft tannins and a long finish. Better after 1996. 2,000 cases made. —",1995
786,90,Glen Carlou Chardonnay Paarl +,Glen Carlou,1994,90,20.0,"Incredibly complex. Like a premier cru white Burgundy. Wonderful toasted oak, mineral, earthy and fruit components combined with full body and great acidity make this wine a superb package. Drink now through 1997. 2,000 cases made. —",1995
787,94,Siro Pacenti Rosso di Montalcino +,Siro Pacenti,1993,90,18.0,"Big and opulent, offering stunning quality for a Rosso—it's more like a Brunello—and boasting masses of plum, black cherry, cedar and dark chocolate flavors. Lush and generous finish. Drinkable now. —",1995
788,89,Gallo of Sonoma Zinfandel Dry Creek Valley Frei Ranch Vineyard +,Gallo of Sonoma,1991,90,14.0,"Rich, smooth and supple, with complex raspberry, anise, earth and tar flavors and aromas that unfold gently, revealing even greater depth. 2,800 cases made. —",1995
789,96,Steele Pinot Noir Carneros +,Steele,1993,90,18.0,"A smooth and elegant California Pinot, with ripe black cherry flavors and attractive, toasty oak flavors graced by a tinge of vanilla. It all melds together nicely and shows increasing depth on the finish. 3,000 cases made. —",1995
790,1,Beringer Chardonnay Napa Valley Private Reserve +,Beringer,1994,95,20.0,"Ripe, rich, intense and deeply concentrated, packing in tiers of ripe pear, honey, hazelnut and butterscotch. An altogether complex and wonderfully crafted Chardonnay that's long and flavorful on the finish. 19,000 cases made. —",1996
791,2,Groth Cabernet Sauvignon Napa Valley Reserve +,Groth,1992,98,70.0,"Dark, thick, smooth and polished, this plush young Cabernet is brimming with ripe cherry, currant and berry flavors. It's well shaded by smoky, toasty oak that gives it coffee and cedary accents on the finish. Truly exotic, about as complex and concentrated as it gets, suggesting a long life ahead. 1,400 cases made. —",1996
792,10,Arrowood Cabernet Sauvignon Sonoma County +,Arrowood,1993,92,27.0,"Complex and well-balanced, showing a fine interplay of ripe plum, currant, cherry, herb and olive flavors. Finishing with a long, lingering aftertaste and a smooth, polished texture. Tempting now but worth of cellaring into 1997. 8,593 cases made. —",1996
793,24,Broadley Pinot Noir Oregon Claudia's Choice +,Broadley,1994,94,25.0,"A profound, graceful Pinot Noir that presents a gamy character on a first whiff, then shows an amazing depth of fruit, expanding into its spicy plum, black cherry and anise flavors that swirl through the long finish. Needs until 1998 or even 2000 to show it all. 300 cases made. —",1996
794,4,Henschke Keyneton Estate Eden-Barossa Valleys +,Henschke,1993,93,22.0,"Smooth and spicy, with a nice undercurrent of ripe plum and anise flavors, plus a touch of prune. A harmonious and amazingly elegant Australian red that's appealing now. Shiraz, Cabernet Sauvignon and Malbec. 5,000 cases made. —",1996
795,22,Silver Oak Cabernet Sauvignon Napa Valley +,Silver Oak,1992,93,45.0,"Big, ripe and oaky in style, but has the flavors to match. This is loaded with currant, plum and wild berry flavors framed by smoky, toasty oak nuances, and finishes with a long, complex, concentrated aftertaste. Tempting now, but worthy of cellaring too; buy one for tonight and a couple to cellar. 8,000 cases made. —",1996
796,20,Hardys Shiraz Padthaway-McLaren Vale-Clare Valley Eileen Hardy +,Hardys,1993,94,20.0,"Dark, almost black in color, densely packed with blackberry, black cherry, pepper and licorice flavors that just don't quit, ending in a smoky note. Has great depth and a long, fat finish. Tight enough to want cellaring. Best from 2000 through 2005. 2,000 cases made. —",1996
797,5,Shafer Chardonnay Napa Valley Carneros Red Shoulder Ranch +,Shafer,1994,93,23.0,"Big, ripe, intense and juicy, loaded with rich, complex flavors. The echoes of ripe pear, anise, fig and spice are cast nicely in a full-bodied style. Yet for all its size and depth, it maintains a sense of elegance and finesse right through the long finish. 3,500 cases made. —",1996
798,7,Lindemans Chardonnay Padthaway +,Lindemans,1994,92,13.0,"Tightly wound, a brilliantly flavorful white that unfolds slowly, displaying Burgundian hazelnut, honey and pear notes which linger on the finish. Drink now through 1997. 21,400 cases made. —",1996
799,9,Alain Graillot Crozes-Hermitage +,Alain Graillot,1994,92,15.0,"Pure, classic Syrah aromas of raspberry, licorice and game carry through on the rich palate, beautifully defined and balanced. Delicious now for its varietal character, it should improve through 2003. 4,000 cases made. —",1996
800,8,Gallo of Sonoma Chardonnay Russian River Valley Laguna Ranch Vineyard +,Gallo of Sonoma,1994,92,16.0,"The seductive, complex smoky oak and exotic fruit flavors turn more elegant and refined on the palate as the tiers of earthy pear, grapefruit and spice show through. Finishes with a delicate touch. The first Gallo Chardonnay from Laguna Ranch Vineyard. 6,195 cases made. —",1996
801,17,Ferrari-Carano Fumé Blanc Reserve Sonoma County +,Ferrari-Carano,1995,91,17.0,"Swirls spicy vanilla notes into lively apple, pear and citrus flavors. A barrel fermented white of great finesse and character. 4,100 cases made. —",1996
802,12,Concha y Toro Cabernet Sauvignon Maipo Valley Puente Alto Vineyard Don Melchor Private Reserve +,Concha y Toro,1993,91,16.0,"Powerful concentration and balance. Deep color and full body show firm structure, yet the tannins are well-integrated and the plum and cassis flavors marry nicely with toasty oak. A well-made red that's approachable now but will be better with cellaring. Drink now through 1998. 10,000 cases made. —TM",1996
803,3,Chalk Hill Chardonnay Chalk Hill +,Chalk Hill,1994,93,20.0,"Rich, intense and full-bodied, the ripe pear, spice, fig and honey flavors framed nicely by toasty oak. An altogether complex and concentrated California white that's brimming with flavor and the finish goes on and on. Drinkable now, but still young. 44,500 cases made. —",1996
804,26,Simi Cabernet Sauvignon Alexander Valley Reserve +,Simi,1992,93,40.0,"Best Simi Reserve in years. Fresh and vibrant, this is a remarkably complex and concentrated young wine that serves up lots of fresh cherry, currant, plum and berry flavors. Shows a notable amount of finesse and harmony, as the tannins are supple and well-integrated, with a long aftertaste. Drinkable already, but better in 1998. 4,000 cases made. —",1996
805,18,Chateau Reynella Shiraz McLaren Vale Basket Pressed +,Chateau Reynella,1994,92,12.0,"A generous mouthful of brilliant berry, black pepper, sweet spice, coffee and chocolate flavors that swirl through the velvety finish. Delicious now; best in 1997. 4,000 cases made. —",1996
806,19,Saintsbury Chardonnay Carneros Reserve +,Saintsbury,1994,95,25.0,"Bold, ripe, smooth and creamy, a real mouthful of Chardonnay. Its tiers of ripe pear, fig and honey flavors are framed by smoky, toasty oak. An altogether complex and beautifully crafted young wine, with a rich butterscotch aftertaste that still has all those delicious flavors chiming in. Kudos to this California winery. Drink now through 1997. 1,130 cases made. —",1996
807,21,Leonetti Merlot Washington +,Leonetti,1994,94,40.0,"Smooth and broad. Disarmingly pure berry and cherry flavors with lovely, complex notes of spice, leather and vanilla on the finish. Delicious now, but tannins will be better in 1998. 1,300 cases made. —",1996
808,25,Byron Chardonnay Santa Maria Valley Estate +,Byron,1993,93,28.0,"A bold, complex style that packs in lots of ripe pear, fig, honey and butterscotch flavors and frames them with toasty, smoky oak. It all adds up to a rich, full-bodied mouthful of Chardonnay from this premier California winery. 2,772 cases made. —",1996
