1,semi-hard
2,artisan
3,semi-soft
5,blue-veined
6,soft
8,soft-ripened
11,hard
14,brined
15,processed
16,fresh soft
18,smear-ripened
22,semi firm
23,firm
24,fresh firm
25,whey
