1,1
2,3
2,4
1,2
2,5
5,2
45,7
6,4
46,1
47,1
45,2
47,3
8,9
8,11
47,12
5,3
15,5
10,2
7,3
16,4
12,14
7,5
9,9
15,9
20,5
14,15
31,12
48,17
41,12
10,16
14,18
36,12
41,2
30,11
48,19
41,7
15,21
11,4
48,20
18,12
49,11
44,4
26,5
11,2
31,16
44,5
7,24
40,11
18,5
44,9
28,11
30,15
13,12
13,20
49,18
34,12
37,12
24,5
15,19
37,16
38,19
50,18
38,20
50,5
24,2
7,20
11,28
32,9
33,9
24,20
18,29
26,30
42,3
18,31
42,4
43,15
27,5
22,5
21,9
28,35
42,11
26,28
51,5
19,4
43,14
27,24
22,20
21,1
54,9
51,11
27,11
54,2
43,20
55,29
57,3
34,29
29,41
17,3
54,11
55,5
57,35
58,12
29,30
51,29
17,14
39,30
57,12
58,7
17,11
39,35
23,12
58,11
23,21
19,44
23,11
32,30
33,30
56,2
19,45
23,20
32,35
33,35
56,7
23,46
59,11
60,12
60,18
62,3
59,47
62,21
60,24
62,16
63,30
65,3
63,29
65,20
60,48
63,9
63,41
67,4
61,30
64,11
61,48
61,28
66,30
61,16
66,12
68,18
72,5
61,2
66,18
68,28
73,12
68,19
73,2
72,1
66,11
68,7
71,18
82,4
76,2
80,19
80,24
70,5
70,9
76,49
76,50
75,9
79,12
75,11
78,18
77,48
78,20
75,49
77,11
87,11
87,46
93,12
93,24
74,3
85,19
86,18
74,2
86,9
83,5
74,7
85,52
86,20
74,20
81,12
81,18
69,3
98,4
84,3
81,4
69,48
98,28
84,9
74,53
81,5
98,20
92,48
95,12
91,18
81,11
69,4
88,12
91,41
92,4
95,5
101,3
69,28
88,16
92,21
96,47
101,4
88,2
89,19
105,3
101,9
90,18
89,2
99,52
90,48
100,35
99,9
100,12
119,20
179,24
202,1
194,2
214,30
229,4
225,5
236,12
284,19
279,14
303,19
345,9
351,19
356,5
391,21
405,5
416,20
429,60
458,4
479,3
501,41
521,15
524,48
532,29
548,12
569,14
590,12
623,20
635,9
650,9
647,19
672,9
693,24
713,30
717,20
716,18
733,28
747,31
766,2
793,20
799,2
818,30
827,28
842,3
858,3
867,24
876,11
893,12
921,4
947,35
953,31
963,20
1002,24
1010,5
1015,2
1094,12
1111,12
1115,1
1123,3
