winery,wine,area,country
Daniel Schuster Wines,, Wellington - Wairarapa  ,New Zealand 
Darjon Vineyards,, Canterbury  ,New Zealand 
David Papa Estate Wines,, Auckland  ,New Zealand 
De Gyffarde Wines,, Marlborough - Blenheim  ,New Zealand 
De REDCLIFFE,,,New Zealand 
Delamore Vineyard,, Auckland - Waiheke Island  ,New Zealand 
Delegat's Wine Estate,, Auckland  ,New Zealand 
Delta Wines,,,New Zealand 
Denton Winery,, Nelson  ,New Zealand 
Domain Road Vineyard,, Central Otago  ,New Zealand 
Domaine Chandon (NZ) Ltd,, Marlborough - Blenheim  ,New Zealand 
Domaine Georges Michel Ltd,, Marlborough - Blenheim  ,New Zealand 
Donaldson Vineyards Ltd,,,New Zealand 
Douglas: John,, Wellington - Martinborough  ,New Zealand 
Dry Gully Vineyard,, Central Otago  ,New Zealand 
Dry Plains Fine Wines Ltd,, Canterbury  ,New Zealand 
Dry River Wines Ltd,, Wellington - Martinborough  ,New Zealand 
Drylands Marlborough Winery,, Marlborough  ,New Zealand 
Eastern Institute of Technology Winery,, Hawke's Bay  ,New Zealand 
Edbrooke Vineyard Ltd,, Auckland - Waiheke Island  ,New Zealand 
Elephant Hill Estate,,,New Zealand 
Ellesmere Wine Company Ltd,, Canterbury  ,New Zealand 
Equinox Wines Ltd,,,New Zealand 
Eradus,, Marlborough - Blenheim  ,New Zealand 
Esk Valley Estate Ltd,, Hawke's Bay  ,New Zealand 
Eskdale,, Hawke's Bay  ,New Zealand 
Eskdale Winegrowers Ltd,, Hawke's Bay  ,New Zealand 
Fairhall Downs Estate,, Marlborough  ,New Zealand 
Fairmont Estate Winery,, Wellington - Wairarapa  ,New Zealand 
Felton Road,, Central Otago  ,New Zealand 
Fenton Estate,, Auckland - Waiheke Island  ,New Zealand 
Fiddler's Green Wines Ltd,, Canterbury  ,New Zealand 
Fino Valley Wines,, Auckland  ,New Zealand 
Firstland Vineyards Ltd,, Hawke's Bay  ,New Zealand 
Floating Mountain,, Canterbury  ,New Zealand 
Foreman's Vineyard,, Auckland - Waiheke Island  ,New Zealand 
Forrest Estate,, Marlborough  ,New Zealand 
Fossil Ridge,, Nelson  ,New Zealand 
Foxes Island Wines,, Marlborough  ,New Zealand 
Framingham Wine Co,, Marlborough  ,New Zealand 
Fraser River Estate,, Central Otago  ,New Zealand 
French Farm Winery,, Canterbury  ,New Zealand 
Fromm Winery,, Marlborough  ,New Zealand 
Fullers Vineyard,, Auckland  ,New Zealand 
Gatehouse Wines Ltd,, Canterbury  ,New Zealand 
Gibbston Valley Wines Ltd,, Central Otago  ,New Zealand 
Giesen Estate,, Canterbury  ,New Zealand 
Gillan Wines,, Marlborough  ,New Zealand 
Gimblett Gravels,, Hawke's Bay  ,New Zealand 
Gladsotne Vineyard,, Hawke's Bay  ,New Zealand 
Glen Garth Farm Ltd,, Wellington - Martinborough  ,New Zealand 
Glengarry Hancocks Ltd,, Auckland  ,New Zealand 
Glenmark Wines,, Canterbury  ,New Zealand 
Glover Wines,, Nelson  ,New Zealand 
Glovers,, Nelson  ,New Zealand 
Golden Gate Vineyards,, Auckland  ,New Zealand 
Goldwater Wines,, Auckland - Waiheke Island  ,New Zealand 
Grandview Wines,, Auckland  ,New Zealand 
Grape Republic,,,New Zealand 
Greenhough Vineyard & Winery,, Nelson  ,New Zealand 
Grove Mill Wines,, Marlborough  ,New Zealand 
Gunn Estate Winery,, Hawke's Bay  ,New Zealand 
winery,web,region,country
"Hand, Steve & Barbara",, Canterbury  ,New Zealand 
Harrier Rise Vineyard,, Auckland  ,New Zealand 
Hatton Estate Gimblett Road Ltd,, Gimblett Gravels - Gimblett Road  ,New Zealand 
Hawkdun Rise Vineyard,, Central Otago  ,New Zealand 
Hawkesbridge Wines,, Marlborough  ,New Zealand 
Hawkesbury Vineyard,, Marlborough - Blenheim  ,New Zealand 
Hawkshead Vineyard Partnership,,,New Zealand 
Hay's Lake Vineyard,, Central Otago  ,New Zealand 
Haythornthwaite Vineyard,, Wellington - Wairarapa  ,New Zealand 
Herons Flight Vineyard,,,New Zealand 
Herzog Winery & Restaurant,, Marlborough  ,New Zealand 
Hettinga Estates Ltd,, Hawke's Bay  ,New Zealand 
Hidden Valley Vineyard,,,New Zealand 
Highfield Estate,, Marlborough  ,New Zealand 
Himmelsfeld,, Nelson  ,New Zealand 
Hinton Estate,,,New Zealand 
Hitchen Road Vineyard,, Auckland  ,New Zealand 
Holmes Brothers,, Nelson  ,New Zealand 
Horsford Downs,,,New Zealand 
Huia Vineyards,, Marlborough  ,New Zealand 
Huntaway,, Hawke's Bay  ,New Zealand 
Hunters,, Marlborough  ,New Zealand 
Huthlee Estate Vineyard,, Hawke's Bay  ,New Zealand 
Hyperion Wines,, Auckland  ,New Zealand 
Inverness Estate,, Auckland  ,New Zealand 
Isabel Estate Vineyard,, Marlborough  ,New Zealand 
Jackson Estate,, Marlborough  ,New Zealand 
Johanneshof Cellars Ltd,, Marlborough - Blenheim  ,New Zealand 
John Mellars of Great Barrier Island,,,New Zealand 
