winery,web,region,country,latlong
Chateau Libertas ,,,South Africa,
Cilmor Winery,,,South Africa,
Constantia Glen,,,South Africa,
Daschbosch ,,,South Africa,
De Franchi Wines ,,,South Africa,
De Hoopen ,,,South Africa,
De Morgenzon,,,South Africa,
Domaine Grier,,,South Africa,
Dombeya Wines,,,South Africa,
Dominion Wine Company,,,South Africa,
Dornier Wines ,,,South Africa,33°59′34″S 18°52′13″E
Dragonnridge Winery,,,South Africa,
Druk My Niet Wine Estate,,,South Africa,
Dunstone Wines,,,South Africa,
Edonia ,,,South Africa,
Eilandia ,,,South Africa,
Excelscious Wines ,,,South Africa,
Gecko Ridge ,,,South Africa,
Gilga Wines ,,,South Africa,
Glenhurst Wine Farms (pty) Ltd ,,,South Africa,
Glenview ,,,South Africa,
Golden Kaan Limited,,,South Africa,
