winery,web,region,country,latlong
Mijn-Burg Cellar ,,Paarl  ,South Africa,
Monis Wines ,,Paarl  ,South Africa,
Mont Destin,,Paarl  ,South Africa,
Nederburg Wines,,Paarl  ,South Africa,
Nelsons Creek ,,Paarl  ,South Africa,
Niel Joubert Wines ,,Paarl  ,South Africa,
Onverwacht Estate ,,Paarl  ,South Africa,
Paarl Rock Brandy Cellar ,,Paarl  ,South Africa,
Paarl Wine Company ,,Paarl  ,South Africa,
Pearly Bay,,Paarl  ,South Africa,
Perdeberg Winery,,Paarl  ,South Africa,
Perold ,,Paarl  ,South Africa,
R and De R Fredericksburg,,Paarl  ,South Africa,
Rhebokskloof Estate,,Paarl  ,South Africa,
Ridgeback Wines ,,Paarl  ,South Africa,
Robert's Rock,,Paarl  ,South Africa,
Roodeberg ,,Paarl  ,South Africa,
Ruitersvlei Wine Estate,,Paarl  ,South Africa,
Savanha ,,Paarl  ,South Africa,
Scali ,,Paarl  ,South Africa,
Seidelberg Wine Estate,,Paarl  ,South Africa,
Signal Hill ,,Paarl  ,South Africa,
Silver Lining ,,Paarl  ,South Africa,
Simonsvlei International,,Paarl  ,South Africa,
Sonop Winery,,Paarl  ,South Africa,
Veenwouden Private Cellar ,,Paarl  ,South Africa,
Vendome Wine Estate,,Paarl  ,South Africa,
Villiera Wines,,Paarl  ,South Africa,
Vineris GmbH,,Paarl  ,South Africa,
Vondeling Wines,,Paarl  ,South Africa,
Welgemeend Estate,,Paarl  ,South Africa,
West Coast Vineyards ,,Paarl  ,South Africa,
Windmeul Winery ,,Paarl  ,South Africa,
Zanddrift Vineyards ,,Paarl  ,South Africa,
Agusta Wines,,Paarl Franschhoek  ,South Africa,
Bovlei,,Paarl Wellington,South Africa,33°38′18″S 19°1′36″E
Cape Wine Cellars ,,Paarl Wellington,South Africa,33°38′2″S 18°59′37″E
Claridge Wines ,,Paarl Wellington,South Africa,
Doolhof Wine Farm ,,Paarl Wellington,South Africa,
Hildenbrand Estate Wine,,Paarl Wellington,South Africa,33°39′31″S 19°1′47″E
Huguenot Wine Farmers ,,Paarl Wellington,South Africa,
Jacaranda Wine Estate ,,Paarl Wellington,South Africa,
Linton Park Wines,,Paarl Wellington,South Africa,
Maze Valley Wines ,,Paarl Wellington,South Africa,
Mischa Estate ,,Paarl Wellington,South Africa,
Mont Du Toit ,,Paarl Wellington,South Africa,33°39′31.2″S 19°2′2.5″E
Napier Winery ,,Paarl Wellington,South Africa,
Siyabonga ,,Paarl Wellington,South Africa,
Stormberg ,,Paarl Wellington,South Africa,
Upland Organic Estate,,Paarl Wellington,South Africa,
Wamakersvallei,,Paarl Wellington,South Africa,33°38′9″S 18°59′25″E
Welgegund Wines ,,Paarl Wellington,South Africa,
Wellington Wine Cellar ,,Paarl Wellington,South Africa,33°38′5″S 18°59′26″E
Welvanpas ,,Paarl Wellington,South Africa,
Agterkliphoogte Wine Cellar ,,Robertson,South Africa,
Ashton Winery,,Robertson,South Africa,
Azania Wines ,,Robertson,South Africa,
Bon Courage Estate ,,Robertson,South Africa,
Bonnievale,,Robertson,South Africa,
Clairvaux Private Cellar ,,Robertson,South Africa,
Danie De Wet ,,Robertson,South Africa,
De Wetshof Estate,,Robertson,South Africa,
Die Vlakte ,,Robertson,South Africa,
Excelsior Vlakteplaas ,,Robertson,South Africa,
Fraai Uitzicht 1798 ,,Robertson,South Africa,
Goedverwacht Estate ,,Robertson,South Africa,
Graham Beck Wines,,Robertson,South Africa,33°52′49″S 19°1′26″E
Janéza ,,Robertson,South Africa,
Jonkheer,,Robertson,South Africa,
Kranskop ,,Robertson,South Africa,
Langeberg Wineries ,,Robertson,South Africa,
Langverwacht Wine Cellar ,,Robertson,South Africa,
Le Grand Chasseur Estate,,Robertson,South Africa,
Mcgregor Winery ,,Robertson,South Africa,
Merwespont Cellar ,,Robertson,South Africa,
Mon Don Estate ,,Robertson,South Africa,
Mont Blois Estate ,,Robertson,South Africa,
Mooiuitsig ,,Robertson,South Africa,
Nordale,,Robertson,South Africa,
Quando ,,Robertson,South Africa,
Rietvallei Wine Estate,,Robertson,South Africa,
Robertson Winery,,Robertson,South Africa,
Roodezandt Winery,,Robertson,South Africa,
Rooiberg Winery,,Robertson,South Africa,
Sinnya Valley ,,Robertson,South Africa,
Springfield Estate,,Robertson,South Africa,
Van Loveren,,Robertson,South Africa,
Van Zylshof Estate ,,Robertson,South Africa,
Viljoensdrift,,Robertson,South Africa,
Weltevrede Wine Estate,,Robertson,South Africa,
Wolwedrift Wine Estate ,,Robertson,South Africa,
Wonderfontein ,,Robertson,South Africa,
Zandvliet's,,Robertson,South Africa,
Bon Cap Private Organic Cellar ,,Robertson Eilandia  ,South Africa,
Adoro Wines,,Stellenbosch,South Africa,
African Sky Wines,,Stellenbosch,South Africa,
Alto Wines,,Stellenbosch,South Africa,
Amani Wines,,Stellenbosch,South Africa,
Annandale Wines ,,Stellenbosch,South Africa,
Asara,,Stellenbosch,South Africa,
Assegai ,,Stellenbosch,South Africa,
Audacia,,Stellenbosch,South Africa,
Baarsma South Africa Pty Ltd ,,Stellenbosch,South Africa,
Barefoot Wine,,Stellenbosch,South Africa,
Bellevue Estates,,Stellenbosch,South Africa,
Bergkelder Winery,,Stellenbosch,South Africa,
Beyerskloof Wines,,Stellenbosch,South Africa,33°53′28″S 18°49′23.6″E
Bilton Wines ,,Stellenbosch,South Africa,
Blaauwklippen Estates,,Stellenbosch,South Africa,
Blue Creek Wines ,,Stellenbosch,South Africa,
Bonfoi Wine Estate ,,Stellenbosch,South Africa,33°53′31″S 18°46′29″E
Boschkloof Wines ,,Stellenbosch,South Africa,
Bottelary,,Stellenbosch,South Africa,
Bouwland Estate ,,Stellenbosch,South Africa,
Bowe Joubert Vineyards and Winery ,,Stellenbosch,South Africa,
Bradgate Winery,,Stellenbosch,South Africa,
Camberley,,Stellenbosch,South Africa,
Cape Indaba Wines,,Stellenbosch,South Africa,
Carisbrooke ,,Stellenbosch,South Africa,
Chapmans Peak,,Stellenbosch,South Africa,
Climar,,Stellenbosch,South Africa,
Clos Malverne,,Stellenbosch,South Africa,
Clovelly Wines ,,Stellenbosch,South Africa,
Coppoolse and Finlayson ,,Stellenbosch,South Africa,
De Meye Wines ,,Stellenbosch,South Africa,
De Trafford Wines ,,Stellenbosch,South Africa,
Delaire Winery,,Stellenbosch,South Africa,
Delheim Cellar,,Stellenbosch,South Africa,33°52′10″S 18°53′8″E
Devon Hill,,Stellenbosch,South Africa,
Devonair ,,Stellenbosch,South Africa,
Dewaal,,Stellenbosch,South Africa,33°56′30″S 18°55′23.4″E
Distell Group Limited,,Stellenbosch,South Africa,
Domaines Paradyskloof ,,Stellenbosch,South Africa,
Eersterivier Winery,,Stellenbosch,South Africa,
Ernie Els Wines,,Stellenbosch,South Africa,
Flagstone Winery,,Stellenbosch,South Africa,
Fleur Du Cap,,Stellenbosch,South Africa,
Fort Simon Wine Estate,,Stellenbosch,South Africa,
Goede Hoop,,Stellenbosch,South Africa,
Graça ,,Stellenbosch,South Africa,
Graceland Vineyards,,Stellenbosch,South Africa,
Grunberger ,,Stellenbosch,South Africa,
Hartenberg Estate,,Stellenbosch,South Africa,
Hazendal Estate,,Stellenbosch,South Africa,
Helderkruin Wine Cellar ,,Stellenbosch,South Africa,
Hidden Valley Wines ,,Stellenbosch,South Africa,
Home Of Origin Wine,,Stellenbosch,South Africa,
Jacobsdal,,Stellenbosch,South Africa,
JC Le Roux,,Stellenbosch,South Africa,33°54′10″S 18°48′36″E
Joostenberg,,Stellenbosch,South Africa,
Jordan Winery,,Stellenbosch,South Africa,33°56′34″S 18°44′41″E
Kaapzicht,,Stellenbosch,South Africa,
Kanonkop Estate,,Stellenbosch,South Africa,33°51′18.4″S 18°51′36.1″E
Kanu Wines,,Stellenbosch,South Africa,
Klawervlei Wine Estate,,Stellenbosch,South Africa,
Klein Dasbosch ,,Stellenbosch,South Africa,
Klein Gustrouw Estate ,,Stellenbosch,South Africa,
Kleindal ,,Stellenbosch,South Africa,
Kleine Zalze,,Stellenbosch,South Africa,
Knorhoek Wines,,Stellenbosch,South Africa,
Koos Smuts,,Stellenbosch,South Africa,
Kronendal Wines,,Stellenbosch,South Africa,
Kumala South African Wines,,Stellenbosch,South Africa,
L Emigre Wines ,,Stellenbosch,South Africa,
L'Avenir wine,,Stellenbosch,South Africa,33°53′18.7″S 18°50′59.1″E
Laibach Vineyards,,Stellenbosch,South Africa,
Lanzerac Wines,,Stellenbosch,South Africa,
Le Bonheur,,Stellenbosch,South Africa,
Le Riche Wines ,,Stellenbosch,South Africa,
Lievland Estate,,Stellenbosch,South Africa,
Long Mountain Wine Company,,Stellenbosch,South Africa,
Louiesenhof,,Stellenbosch,South Africa,
Louisvale Wines ,,Stellenbosch,South Africa,
Meinert Wines ,,Stellenbosch,South Africa,
Middelvlei,,Stellenbosch,South Africa,
Monterosso ,,Stellenbosch,South Africa,
Mooiplaas Estate ,,Stellenbosch,South Africa,33°54′56″S 18°44′14″E
Morgenhof Wine,,Stellenbosch,South Africa,
Morgenzon,,Stellenbosch,South Africa,33°56′28″S 18°46′1″E
Mulderbosch Vineyards,,Stellenbosch,South Africa,
Muratie Wine Estate,,Stellenbosch,South Africa,
Neethlingshof Estate,,Stellenbosch,South Africa,33°52′26″S 18°48′9″E
Neil Ellis,,Stellenbosch,South Africa,
Overgaauw,,Stellenbosch,South Africa,33°56′52″S 18°47′37″E
Raats Family Wines ,,Stellenbosch,South Africa,
Remhoogte Wine Estate ,,Stellenbosch,South Africa,
Reyneke Wines,,Stellenbosch,South Africa,
Rider's Drift Wines,,Stellenbosch,South Africa,
Rozendal Farm ,,Stellenbosch,South Africa,
Rudera Wines (pty) Ltd. ,,Stellenbosch,South Africa,
Rust en Vrede Estate,,Stellenbosch,South Africa,33°59′54″S 18°51′22.5″E
Rustenberg Wines,,Stellenbosch,South Africa,33°53′44.8″S 18°53′33.6″E
Savisa,,Stellenbosch,South Africa,
Saxenburg,,Stellenbosch,South Africa,33°56′47.9″S 18°43′9.4″E
Simonsig,,Stellenbosch,South Africa,33°52′12.1″S 18°49′31.7″E
Spier Cellars,,Stellenbosch,South Africa,33°58′23″S 18°46′56″E
Starke Wines ,,Stellenbosch,South Africa,
Stellekaya ,,Stellenbosch,South Africa,
Stellenbosch Farmers Winery,,Stellenbosch,South Africa,33°38′32″S 18°59′13″E
Stellenbosch Hills,,Stellenbosch,South Africa,
Stellenryck ,,Stellenbosch,South Africa,
Stellenzicht,,Stellenbosch,South Africa,33°59′50″S 18°46′17″E
Sylvan Vale,,Stellenbosch,South Africa,
Thelema Mountain Vineyards,,Stellenbosch,South Africa,33°54′30″S 18°55′23.4″E
Tokara ,,Stellenbosch,South Africa,
Uiterwyk Wine Estate,,Stellenbosch,South Africa,
Uitkyk Estate,,Stellenbosch,South Africa,
Uva Mira Vineyards ,,Stellenbosch,South Africa,
Verdun Estate,,Stellenbosch,South Africa,
Vinimark,,Stellenbosch,South Africa,
Vinum Africa,,Stellenbosch,South Africa,
Vlottenburg,,Stellenbosch,South Africa,
Vredenheim Wines,,Stellenbosch,South Africa,
Vriesenhof,,Stellenbosch,South Africa,
Warwick Wine Estate,,Stellenbosch,South Africa,33°50′26.6″S 18°51′51″E
Waterford Estate,,Stellenbosch,South Africa,
Wel D Mer ,,Stellenbosch,South Africa,
Welmoed,,Stellenbosch,South Africa,
Zevenwacht Wine Estate,,Stellenbosch,South Africa,
Zonnebloem,,Stellenbosch,South Africa,
Akkerdal Estate ,,Stellenbosch Franschhoek  ,South Africa,33°52′43″S 19°2′57″E
Arniston Bay,,Stellenbosch Franschhoek  ,South Africa,
Ashwood Wines,,Stellenbosch Franschhoek  ,South Africa,
Bellingham,,Stellenbosch Franschhoek  ,South Africa,
Blueberry Hill ,,Stellenbosch Franschhoek  ,South Africa,
Boekenhoutskloof ,,Stellenbosch Franschhoek  ,South Africa,33°56′33″S 19°6′28″E
Boschendal,,Stellenbosch Franschhoek  ,South Africa,33°52′39″S 18°58′22″E
Cabriere Estate,,Stellenbosch Franschhoek  ,South Africa,33°54′44″S 19°7′5″E
Dieu Donne  ,,Stellenbosch Franschhoek  ,South Africa,33°53′48″S 19°7′48″E
Eikehof ,,Stellenbosch Franschhoek  ,South Africa,33°53′16″S 19°4′54″E
Elephant Pass Vineyards ,,Stellenbosch Franschhoek  ,South Africa,33°55′6″S 19°7′38″E
Glenwood ,,Stellenbosch Franschhoek  ,South Africa,33°54′50″S 19°5′13″E
Haute Provence ,,Stellenbosch Franschhoek  ,South Africa,33°53′49″S 19°6′5″E
Jean Daneel Wines ,,Stellenbosch Franschhoek  ,South Africa,33°54′58″S 19°7′22″E
L Ormarins Estate,,Stellenbosch Franschhoek  ,South Africa,
La Bourgogne ,,Stellenbosch Franschhoek  ,South Africa,
La Bri,,Stellenbosch Franschhoek  ,South Africa,
La Couronne Wine Estate,,Stellenbosch Franschhoek  ,South Africa,33°55′13″S 19°6′43″E
La Motte,,Stellenbosch Franschhoek  ,South Africa,33°52′49.9″S 19°4′28.3″E
La Petite Ferme ,,Stellenbosch Franschhoek  ,South Africa,
La Provence & Haute Provence ,,Stellenbosch Franschhoek  ,South Africa,
Landau Du Val Wines ,,Stellenbosch Franschhoek  ,South Africa,33°55′12″S 19°6′48″E
Mont Rochelle Mountain Vineyards,,Stellenbosch Franschhoek  ,South Africa,33°54′40″S 19°6′31″E
Môreson Soleil du Matin,,Stellenbosch Franschhoek  ,South Africa,33°53′14″S 19°3′29″E
Mouton - Excelsior  ,,Stellenbosch Franschhoek  ,South Africa,
Old Bridge Wines,,Stellenbosch Franschhoek  ,South Africa,
Plasir de Merle Winery,,Stellenbosch Franschhoek  ,South Africa,33°51′0″S 18°56′36.2″E
Rickety Bridge Winery,,Stellenbosch Franschhoek  ,South Africa,33°53′57″S 19°5′34″E
Rupert & Rothschild Vignerons,,Stellenbosch Franschhoek  ,South Africa,33°50′14.5″S 18°56′51.1″E
Stony Brook ,,Stellenbosch Franschhoek  ,South Africa,
Tenfiftysix ,,Stellenbosch Franschhoek  ,South Africa,33°53′31″S 19°5′32″E
